PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,HARYANA,GEORGIA,KGS,1280,3538,,,
A1,TEA,HARYANA,IRAN,KGS,116407,417538,,,
A1,TEA,HARYANA,IRAQ,KGS,328573,1042785,,,
A1,TEA,HARYANA,JAPAN,KGS,30,1349,,,
A1,TEA,HARYANA,KAZAKHSTAN,KGS,975,4055,,,
A1,TEA,HARYANA,KOREA RP,KGS,6000,23307,,,
A1,TEA,HARYANA,KUWAIT,KGS,8896,32381,,,
A1,TEA,HARYANA,LITHUANIA,KGS,966,8431,,,
A1,TEA,HARYANA,MALAYSIA,KGS,1922,10833,,,
A1,TEA,HARYANA,NEPAL,KGS,17152,134991,,,
A1,TEA,HARYANA,NEW ZEALAND,KGS,4099,5044,,,
A1,TEA,HARYANA,RUSSIA,KGS,5392,40328,,,
A1,TEA,HARYANA,SAUDI ARAB,KGS,1103,2342,,,
A1,TEA,HARYANA,SINGAPORE,KGS,12448,73476,,,
A1,TEA,HARYANA,SWEDEN,KGS,1215,6897,,,
A1,TEA,HARYANA,TANZANIA REP,KGS,2400,10215,,,
A1,TEA,HARYANA,U ARAB EMTS,KGS,68892,212992,,,
A1,TEA,HARYANA,U K,KGS,984,3399,,,
A1,TEA,HARYANA,U S A,KGS,10296,124454,,,
A1,TEA,HARYANA,UZBEKISTAN,KGS,40,1012,,,
A1,TEA,HIMACHAL PRADESH,CANADA,KGS,32,1296,,,
A1,TEA,HIMACHAL PRADESH,CZECH REPUBLIC,KGS,16,540,,,
A1,TEA,HIMACHAL PRADESH,FRANCE,KGS,1370,29776,,,
A1,TEA,HIMACHAL PRADESH,GERMANY,KGS,448,10325,,,
A1,TEA,HIMACHAL PRADESH,JAPAN,KGS,28,364,,,
A1,TEA,HIMACHAL PRADESH,NETHERLAND,KGS,1728,18503,,,
A1,TEA,HIMACHAL PRADESH,SINGAPORE,KGS,93,6582,,,
A1,TEA,HIMACHAL PRADESH,SRI LANKA DSR,KGS,60,334,,,
A1,TEA,HIMACHAL PRADESH,U K,KGS,61,9718,,,
A1,TEA,HIMACHAL PRADESH,U S A,KGS,26,2149,,,
A1,TEA,JAMMU AND KASHMIR,BAHARAIN IS,KGS,192,543,,,
A1,TEA,JAMMU AND KASHMIR,U K,KGS,3005,14827,,,
A1,TEA,JAMMU AND KASHMIR,U S A,KGS,9,46,,,
A1,TEA,KARNATAKA,AUSTRALIA,KGS,2524,17035,,,
A1,TEA,KARNATAKA,CAMBODIA,KGS,18,196,,,
A1,TEA,KARNATAKA,CANADA,KGS,1392,8243,,,
A1,TEA,KARNATAKA,CAYMAN IS,KGS,10,135,,,
A1,TEA,KARNATAKA,CURACAO,KGS,7,363,,,
A1,TEA,KARNATAKA,CZECH REPUBLIC,KGS,5,833,,,
A1,TEA,KARNATAKA,DENMARK,KGS,299,2967,,,
A1,TEA,KARNATAKA,FRANCE,KGS,4,298,,,
A1,TEA,KARNATAKA,GERMANY,KGS,39,4778,,,
A1,TEA,KARNATAKA,HONG KONG,KGS,72,574,,,
A1,TEA,KARNATAKA,IRAN,KGS,21000,74497,,,
A1,TEA,KARNATAKA,IRAQ,KGS,58500,145185,,,
A1,TEA,KARNATAKA,ISRAEL,KGS,50,741,,,
A1,TEA,KARNATAKA,ITALY,KGS,25,3225,,,
A1,TEA,KARNATAKA,JAPAN,KGS,10,2480,,,
A1,TEA,KARNATAKA,KENYA,KGS,12,252,,,
A1,TEA,KARNATAKA,KOREA RP,KGS,18000,638512,,,
